user_id,item_id,event_type,rating,quantity,price,event_ts,channel,interaction_strength,event_date,event_hour
U0029,I0009,view,,1,26.36,2026-02-12 15:03:22+00:00,mobile,1.0,2026-02-12,15
U0065,I0097,view,,1,42.6,2026-03-27 00:30:22+00:00,mobile,1.0,2026-03-27,0
U0092,I0027,cart,,1,58.32,2026-05-02 10:31:22+00:00,web,3.0,2026-05-02,10
U0224,I0001,purchase,,1,31.44,2026-03-16 14:30:22+00:00,mobile,5.0,2026-03-16,14
U0012,I0047,cart,,1,36.67,2026-03-08 21:14:22+00:00,web,3.0,2026-03-08,21
U0228,I0073,view,,1,25.28,2026-04-04 18:29:22+00:00,web,1.0,2026-04-04,18
U0215,I0072,view,,1,21.99,2026-03-17 11:52:22+00:00,mobile,1.0,2026-03-17,11
U0124,I0009,rating,5.0,1,26.36,2026-02-10 08:18:22+00:00,mobile,5.0,2026-02-10,8
U0096,I0075,rating,2.0,1,25.5,2026-03-31 03:02:22+00:00,web,2.0,2026-03-31,3
U0059,I0071,view,,1,31.77,2026-02-24 20:23:22+00:00,web,1.0,2026-02-24,20
U0138,I0107,view,,1,14.01,2026-04-25 08:02:22+00:00,mobile,1.0,2026-04-25,8
U0104,I0095,cart,,1,11.84,2026-03-25 14:48:22+00:00,web,3.0,2026-03-25,14
U0049,I0102,view,,1,45.37,2026-03-26 11:21:22+00:00,web,1.0,2026-03-26,11
U0047,I0112,view,,1,53.68,2026-04-18 06:22:22+00:00,mobile,1.0,2026-04-18,6
U0005,I0050,view,,1,15.33,2026-04-26 16:03:22+00:00,web,1.0,2026-04-26,16
U0178,I0011,view,,1,15.55,2026-04-13 20:58:22+00:00,mobile,1.0,2026-04-13,20
U0021,I0006,view,,1,21.38,2026-04-01 19:15:22+00:00,mobile,1.0,2026-04-01,19
U0210,I0061,view,,1,17.75,2026-03-20 19:23:22+00:00,web,1.0,2026-03-20,19
U0222,I0008,view,,1,36.94,2026-04-07 22:48:22+00:00,mobile,1.0,2026-04-07,22
U0161,I0072,purchase,,2,21.99,2026-02-11 18:49:22+00:00,mobile,5.0,2026-02-11,18
U0070,I0019,rating,5.0,1,35.63,2026-04-09 18:53:22+00:00,web,5.0,2026-04-09,18
U0090,I0058,view,,1,18.03,2026-03-17 20:54:22+00:00,mobile,1.0,2026-03-17,20
U0019,I0032,cart,,1,68.88,2026-02-23 12:23:22+00:00,mobile,3.0,2026-02-23,12
U0004,I0029,rating,5.0,1,83.41,2026-04-08 22:16:22+00:00,web,5.0,2026-04-08,22
U0080,I0119,view,,1,34.0,2026-02-15 03:03:22+00:00,mobile,1.0,2026-02-15,3
U0222,I0111,view,,1,114.52,2026-03-13 11:36:22+00:00,web,1.0,2026-03-13,11
U0081,I0104,purchase,,1,41.88,2026-03-28 05:10:22+00:00,web,5.0,2026-03-28,5
U0074,I0092,rating,3.0,1,16.23,2026-04-18 13:44:22+00:00,web,3.0,2026-04-18,13
U0216,I0104,purchase,,1,41.88,2026-02-06 01:12:22+00:00,mobile,5.0,2026-02-06,1
U0101,I0017,rating,1.0,1,25.29,2026-03-21 12:33:22+00:00,web,1.0,2026-03-21,12
U0182,I0010,rating,2.0,1,50.12,2026-04-07 11:54:22+00:00,web,2.0,2026-04-07,11
U0067,I0109,view,,1,70.56,2026-04-16 17:52:22+00:00,web,1.0,2026-04-16,17
U0103,I0063,cart,,1,17.91,2026-03-05 20:10:22+00:00,mobile,3.0,2026-03-05,20
U0093,I0082,cart,,1,27.22,2026-03-09 17:03:22+00:00,web,3.0,2026-03-09,17
U0058,I0020,view,,1,27.33,2026-02-22 21:11:22+00:00,web,1.0,2026-02-22,21
U0203,I0005,view,,1,20.52,2026-04-03 19:10:22+00:00,mobile,1.0,2026-04-03,19
U0098,I0041,rating,4.0,1,35.48,2026-05-01 16:56:22+00:00,mobile,4.0,2026-05-01,16
U0179,I0097,purchase,,1,42.6,2026-04-11 19:53:22+00:00,web,5.0,2026-04-11,19
U0047,I0026,rating,4.0,1,13.5,2026-02-03 14:09:22+00:00,web,4.0,2026-02-03,14
U0106,I0114,view,,1,33.44,2026-02-16 10:50:22+00:00,mobile,1.0,2026-02-16,10
U0041,I0101,purchase,,1,48.0,2026-04-08 03:18:22+00:00,web,5.0,2026-04-08,3
U0068,I0017,view,,1,25.29,2026-03-30 00:48:22+00:00,web,1.0,2026-03-30,0
U0024,I0063,view,,1,17.91,2026-03-17 10:23:22+00:00,web,1.0,2026-03-17,10
U0024,I0014,view,,1,30.5,2026-04-28 08:38:22+00:00,web,1.0,2026-04-28,8
U0215,I0096,view,,1,36.87,2026-02-13 20:34:22+00:00,web,1.0,2026-02-13,20
U0181,I0057,cart,,1,46.42,2026-04-06 03:21:22+00:00,mobile,3.0,2026-04-06,3
U0070,I0052,view,,1,30.37,2026-04-21 00:20:22+00:00,mobile,1.0,2026-04-21,0
U0085,I0017,rating,2.0,1,25.29,2026-03-26 15:45:22+00:00,mobile,2.0,2026-03-26,15
U0076,I0019,purchase,,2,35.63,2026-04-08 00:36:22+00:00,mobile,5.0,2026-04-08,0
U0050,I0101,cart,,1,48.0,2026-02-22 23:36:22+00:00,web,3.0,2026-02-22,23
U0206,I0093,rating,4.0,1,35.82,2026-04-30 21:49:22+00:00,mobile,4.0,2026-04-30,21
U0022,I0111,view,,1,114.52,2026-03-14 02:05:22+00:00,web,1.0,2026-03-14,2
U0031,I0032,view,,1,68.88,2026-04-10 10:52:22+00:00,mobile,1.0,2026-04-10,10
U0009,I0052,view,,1,30.37,2026-03-21 13:18:22+00:00,mobile,1.0,2026-03-21,13
U0048,I0117,cart,,1,42.8,2026-02-04 00:30:22+00:00,web,3.0,2026-02-04,0
U0191,I0033,rating,4.0,1,24.72,2026-04-27 19:59:22+00:00,mobile,4.0,2026-04-27,19
U0015,I0070,rating,5.0,1,26.73,2026-02-24 22:44:22+00:00,web,5.0,2026-02-24,22
U0126,I0023,purchase,,1,51.99,2026-02-17 02:34:22+00:00,mobile,5.0,2026-02-17,2
U0006,I0117,purchase,,1,42.8,2026-02-19 21:45:22+00:00,mobile,5.0,2026-02-19,21
U0175,I0022,view,,1,23.73,2026-03-26 07:35:22+00:00,web,1.0,2026-03-26,7
