item_id,category,brand,price,sentiment_score,popularity_score,price_norm,sentiment_norm,popularity_norm
I0001,home,Aster,31.44,0.778,0.255,0.23074074074074075,0.6877637130801687,0.28205128205128205
I0002,beauty,ZenCo,22.56,0.848,0.169,0.1485185185185185,0.7862165963431785,0.17704517704517708
I0003,home,Pulse,12.56,0.686,0.39,0.055925925925925934,0.5583684950773559,0.4468864468864469
I0004,beauty,Orion,24.4,0.794,0.045,0.1655555555555555,0.710267229254571,0.025641025641025644
I0005,home,ZenCo,20.52,0.669,0.275,0.1296296296296296,0.5344585091420535,0.3064713064713065
I0006,electronics,UrbanLeaf,21.38,0.626,0.395,0.1375925925925926,0.47398030942334735,0.45299145299145305
I0007,books,UrbanLeaf,50.51,0.41300000000000003,0.309,0.4073148148148148,0.1744022503516175,0.347985347985348
I0008,sports,Orion,36.94,0.289,0.317,0.2816666666666666,0.0,0.35775335775335776
I0009,home,Orion,26.36,0.492,0.5650000000000001,0.1837037037037037,0.28551336146272854,0.6605616605616607
I0010,electronics,Pulse,50.12,0.591,0.252,0.4037037037037037,0.42475386779184243,0.2783882783882784
I0011,sports,UrbanLeaf,15.55,0.673,0.613,0.08361111111111112,0.5400843881856541,0.7191697191697192
I0012,sports,Pulse,67.3,0.642,0.37,0.5627777777777777,0.4964838255977496,0.4224664224664225
I0013,electronics,ZenCo,28.54,0.846,0.024,0.2038888888888889,0.7834036568213781,0.0
I0014,electronics,ZenCo,30.5,0.544,0.221,0.22203703703703703,0.3586497890295359,0.24053724053724057
I0015,electronics,Orion,19.27,0.914,0.342,0.11805555555555554,0.8790436005625878,0.38827838827838834
I0016,home,Aster,41.84,0.916,0.26,0.32703703703703707,0.8818565400843882,0.2881562881562882
I0017,beauty,UrbanLeaf,25.29,0.804,0.343,0.17379629629629628,0.7243319268635725,0.38949938949938956
I0018,books,Nova,34.0,0.517,0.384,0.2544444444444444,0.32067510548523204,0.4395604395604396
I0019,beauty,UrbanLeaf,35.63,0.65,0.368,0.2695370370370371,0.5077355836849508,0.42002442002442003
I0020,beauty,Pulse,27.33,0.731,0.223,0.19268518518518518,0.6216596343178621,0.242979242979243
I0021,beauty,UrbanLeaf,19.0,0.844,0.467,0.11555555555555556,0.780590717299578,0.540903540903541
I0022,fashion,Orion,23.73,0.511,0.524,0.15935185185185186,0.3122362869198312,0.6105006105006106
I0023,fashion,Pulse,51.99,0.717,0.455,0.4210185185185185,0.6019690576652602,0.5262515262515263
I0024,sports,ZenCo,24.65,0.79,0.5750000000000001,0.16787037037037034,0.7046413502109704,0.6727716727716729
I0025,beauty,Nova,15.52,0.76,0.761,0.08333333333333333,0.6624472573839663,0.8998778998779
I0026,home,ZenCo,13.5,0.481,0.19,0.06462962962962963,0.27004219409282704,0.2026862026862027
I0027,sports,Orion,58.32,0.791,0.039,0.4796296296296296,0.7060478199718706,0.018315018315018316
I0028,sports,Nova,23.83,0.467,0.08700000000000001,0.16027777777777774,0.25035161744022505,0.07692307692307694
I0029,home,Orion,83.41,1.0,0.71,0.7119444444444444,0.9999999999999999,0.8376068376068376
I0030,fashion,Orion,19.11,0.679,0.384,0.11657407407407407,0.5485232067510549,0.4395604395604396
I0031,books,UrbanLeaf,6.52,0.8240000000000001,0.45,0.0,0.7524613220815753,0.5201465201465202
I0032,electronics,ZenCo,68.88,0.794,0.11,0.5774074074074073,0.710267229254571,0.10500610500610502
I0033,books,Orion,24.72,0.727,0.5650000000000001,0.1685185185185185,0.6160337552742615,0.6605616605616607
I0034,fashion,Pulse,32.38,0.362,0.199,0.23944444444444446,0.10267229254571031,0.2136752136752137
I0035,books,Pulse,26.96,0.93,0.305,0.18925925925925924,0.9015471167369901,0.3431013431013431
I0036,fashion,Orion,74.72,0.598,0.393,0.6314814814814814,0.43459915611814337,0.4505494505494506
I0037,sports,ZenCo,17.51,0.519,0.554,0.10175925925925926,0.3234880450070323,0.6471306471306473
I0038,home,Nova,23.01,0.809,0.228,0.1526851851851852,0.731364275668073,0.2490842490842491
I0039,electronics,ZenCo,14.55,0.483,0.47100000000000003,0.07435185185185185,0.2728551336146273,0.5457875457875458
I0040,books,Orion,56.71,0.612,0.625,0.4647222222222222,0.45428973277074536,0.7338217338217339
I0041,fashion,UrbanLeaf,35.48,0.656,0.211,0.26814814814814814,0.5161744022503516,0.22832722832722835
I0042,home,Nova,34.64,0.5740000000000001,0.15,0.26037037037037036,0.4008438818565402,0.15384615384615385
I0043,electronics,Aster,34.18,0.937,0.405,0.2561111111111111,0.9113924050632912,0.46520146520146527
I0044,home,Aster,16.15,0.797,0.046,0.08916666666666666,0.7144866385372713,0.02686202686202686
I0045,beauty,ZenCo,27.1,0.927,0.165,0.1905555555555556,0.8973277074542897,0.1721611721611722
I0046,books,Pulse,32.06,0.972,0.131,0.23648148148148151,0.9606188466947959,0.13064713064713065
I0047,home,Aster,36.67,0.966,0.395,0.2791666666666667,0.9521800281293952,0.45299145299145305
I0048,books,Nova,22.53,0.897,0.2,0.14824074074074073,0.8551336146272855,0.2148962148962149
