user_id,item_id,event_type,rating,quantity,price,event_ts,channel,interaction_strength,event_date,event_hour,category,brand,price_product,sentiment_score,popularity_score,price_norm,sentiment_norm,popularity_norm
U0029,I0009,view,,1,26.36,2026-02-12 15:03:22+00:00,mobile,1.0,2026-02-12,15,home,Orion,26.36,0.492,0.5650000000000001,0.1837037037037037,0.28551336146272854,0.6605616605616607
U0065,I0097,view,,1,42.6,2026-03-27 00:30:22+00:00,mobile,1.0,2026-03-27,0,fashion,ZenCo,42.6,0.549,0.041,0.3340740740740741,0.3656821378340366,0.020757020757020763
U0092,I0027,cart,,1,58.32,2026-05-02 10:31:22+00:00,web,3.0,2026-05-02,10,sports,Orion,58.32,0.791,0.039,0.4796296296296296,0.7060478199718706,0.018315018315018316
U0224,I0001,purchase,,1,31.44,2026-03-16 14:30:22+00:00,mobile,5.0,2026-03-16,14,home,Aster,31.44,0.778,0.255,0.23074074074074075,0.6877637130801687,0.28205128205128205
U0012,I0047,cart,,1,36.67,2026-03-08 21:14:22+00:00,web,3.0,2026-03-08,21,home,Aster,36.67,0.966,0.395,0.2791666666666667,0.9521800281293952,0.45299145299145305
U0228,I0073,view,,1,25.28,2026-04-04 18:29:22+00:00,web,1.0,2026-04-04,18,electronics,Pulse,25.28,0.545,0.116,0.1737037037037037,0.360056258790436,0.11233211233211235
U0215,I0072,view,,1,21.99,2026-03-17 11:52:22+00:00,mobile,1.0,2026-03-17,11,electronics,Pulse,21.99,1.0,0.748,0.14324074074074072,0.9999999999999999,0.8840048840048841
U0124,I0009,rating,5.0,1,26.36,2026-02-10 08:18:22+00:00,mobile,5.0,2026-02-10,8,home,Orion,26.36,0.492,0.5650000000000001,0.1837037037037037,0.28551336146272854,0.6605616605616607
U0096,I0075,rating,2.0,1,25.5,2026-03-31 03:02:22+00:00,web,2.0,2026-03-31,3,sports,ZenCo,25.5,0.7000000000000001,0.32,0.17574074074074075,0.5780590717299579,0.36141636141636146
U0059,I0071,view,,1,31.77,2026-02-24 20:23:22+00:00,web,1.0,2026-02-24,20,electronics,ZenCo,31.77,0.595,0.32,0.23379629629629628,0.430379746835443,0.36141636141636146
U0138,I0107,view,,1,14.01,2026-04-25 08:02:22+00:00,mobile,1.0,2026-04-25,8,electronics,Orion,14.01,0.914,0.24,0.06935185185185185,0.8790436005625878,0.26373626373626374
U0104,I0095,cart,,1,11.84,2026-03-25 14:48:22+00:00,web,3.0,2026-03-25,14,sports,UrbanLeaf,11.84,0.886,0.197,0.04925925925925925,0.8396624472573838,0.21123321123321126
U0049,I0102,view,,1,45.37,2026-03-26 11:21:22+00:00,web,1.0,2026-03-26,11,electronics,UrbanLeaf,45.37,0.5690000000000001,0.498,0.3597222222222222,0.3938115330520394,0.5787545787545788
U0047,I0112,view,,1,53.68,2026-04-18 06:22:22+00:00,mobile,1.0,2026-04-18,6,fashion,Pulse,53.68,0.342,0.187,0.43666666666666665,0.07454289732770752,0.19902319902319904
U0005,I0050,view,,1,15.33,2026-04-26 16:03:22+00:00,web,1.0,2026-04-26,16,beauty,UrbanLeaf,15.33,0.7010000000000001,0.115,0.08157407407407406,0.579465541490858,0.11111111111111113
U0178,I0011,view,,1,15.55,2026-04-13 20:58:22+00:00,mobile,1.0,2026-04-13,20,sports,UrbanLeaf,15.55,0.673,0.613,0.08361111111111112,0.5400843881856541,0.7191697191697192
U0021,I0006,view,,1,21.38,2026-04-01 19:15:22+00:00,mobile,1.0,2026-04-01,19,electronics,UrbanLeaf,21.38,0.626,0.395,0.1375925925925926,0.47398030942334735,0.45299145299145305
U0210,I0061,view,,1,17.75,2026-03-20 19:23:22+00:00,web,1.0,2026-03-20,19,books,ZenCo,17.75,0.625,0.234,0.10398148148148147,0.47257383966244726,0.25641025641025644
U0222,I0008,view,,1,36.94,2026-04-07 22:48:22+00:00,mobile,1.0,2026-04-07,22,sports,Orion,36.94,0.289,0.317,0.2816666666666666,0.0,0.35775335775335776
U0161,I0072,purchase,,2,21.99,2026-02-11 18:49:22+00:00,mobile,5.0,2026-02-11,18,electronics,Pulse,21.99,1.0,0.748,0.14324074074074072,0.9999999999999999,0.8840048840048841
U0070,I0019,rating,5.0,1,35.63,2026-04-09 18:53:22+00:00,web,5.0,2026-04-09,18,beauty,UrbanLeaf,35.63,0.65,0.368,0.2695370370370371,0.5077355836849508,0.42002442002442003
U0090,I0058,view,,1,18.03,2026-03-17 20:54:22+00:00,mobile,1.0,2026-03-17,20,home,UrbanLeaf,18.03,0.771,0.47300000000000003,0.10657407407407408,0.6779184247538678,0.5482295482295483
U0019,I0032,cart,,1,68.88,2026-02-23 12:23:22+00:00,mobile,3.0,2026-02-23,12,electronics,ZenCo,68.88,0.794,0.11,0.5774074074074073,0.710267229254571,0.10500610500610502
U0004,I0029,rating,5.0,1,83.41,2026-04-08 22:16:22+00:00,web,5.0,2026-04-08,22,home,Orion,83.41,1.0,0.71,0.7119444444444444,0.9999999999999999,0.8376068376068376
U0080,I0119,view,,1,34.0,2026-02-15 03:03:22+00:00,mobile,1.0,2026-02-15,3,beauty,Pulse,34.0,0.9460000000000001,0.10400000000000001,0.2544444444444444,0.9240506329113923,0.0976800976800977
U0222,I0111,view,,1,114.52,2026-03-13 11:36:22+00:00,web,1.0,2026-03-13,11,books,Nova,114.52,0.649,0.314,0.9999999999999998,0.5063291139240507,0.3540903540903541
U0081,I0104,purchase,,1,41.88,2026-03-28 05:10:22+00:00,web,5.0,2026-03-28,5,electronics,Aster,41.88,0.799,0.487,0.3274074074074074,0.7172995780590717,0.5653235653235653
U0074,I0092,rating,3.0,1,16.23,2026-04-18 13:44:22+00:00,web,3.0,2026-04-18,13,beauty,ZenCo,16.23,0.8140000000000001,0.035,0.0899074074074074,0.7383966244725738,0.013431013431013435
U0216,I0104,purchase,,1,41.88,2026-02-06 01:12:22+00:00,mobile,5.0,2026-02-06,1,electronics,Aster,41.88,0.799,0.487,0.3274074074074074,0.7172995780590717,0.5653235653235653
U0101,I0017,rating,1.0,1,25.29,2026-03-21 12:33:22+00:00,web,1.0,2026-03-21,12,beauty,UrbanLeaf,25.29,0.804,0.343,0.17379629629629628,0.7243319268635725,0.38949938949938956
U0182,I0010,rating,2.0,1,50.12,2026-04-07 11:54:22+00:00,web,2.0,2026-04-07,11,electronics,Pulse,50.12,0.591,0.252,0.4037037037037037,0.42475386779184243,0.2783882783882784
