item_id,similar_item_id,cooccurrence_score
I0001,I0038,15
I0001,I0081,15
I0001,I0047,13
I0001,I0082,13
I0001,I0042,12
I0002,I0021,9
I0002,I0017,7
I0002,I0063,6
I0002,I0091,6
I0002,I0025,5
I0003,I0096,14
I0003,I0009,11
I0003,I0038,11
I0003,I0047,11
I0003,I0058,11
I0004,I0017,8
I0004,I0088,8
I0004,I0091,8
I0004,I0021,7
I0004,I0025,7
I0005,I0058,12
I0005,I0047,11
I0005,I0001,10
I0005,I0009,10
I0005,I0077,10
I0006,I0104,11
I0006,I0116,9
I0006,I0014,8
I0006,I0072,8
I0006,I0074,8
I0007,I0046,8
I0007,I0056,8
I0007,I0055,7
I0007,I0059,7
I0007,I0069,7
I0008,I0110,11
I0008,I0106,10
I0008,I0037,9
I0008,I0024,8
I0008,I0064,8
I0009,I0038,12
I0009,I0080,12
I0009,I0096,12
I0009,I0001,11
I0009,I0003,11
I0010,I0014,7
I0010,I0068,7
I0010,I0101,7
I0010,I0006,6
I0010,I0013,6
I0011,I0037,11
I0011,I0066,10
I0011,I0100,10
I0011,I0110,9
I0011,I0024,8
I0012,I0037,12
I0012,I0106,9
I0012,I0064,8
I0012,I0024,7
I0012,I0027,7
I0013,I0074,11
I0013,I0116,10
I0013,I0014,8
I0013,I0087,8
I0013,I0101,8
I0014,I0087,11
I0014,I0104,11
I0014,I0032,9
I0014,I0071,9
I0014,I0116,9
I0015,I0074,9
I0015,I0116,8
I0015,I0014,6
I0015,I0039,6
I0015,I0043,6
I0016,I0009,11
I0016,I0029,11
I0016,I0081,11
I0016,I0090,11
I0016,I0096,11
I0017,I0019,10
I0017,I0021,10
I0017,I0088,10
I0017,I0025,9
I0017,I0063,9
I0018,I0098,9
I0018,I0084,7
I0018,I0086,7
I0018,I0118,7
I0018,I0035,6
I0019,I0017,10
I0019,I0088,10
I0019,I0021,9
I0019,I0063,9
I0019,I0091,9
I0020,I0019,8
I0020,I0025,8
I0020,I0017,7
I0020,I0052,7
I0020,I0063,7
I0021,I0063,13
I0021,I0017,10
I0021,I0088,10
I0021,I0002,9
I0021,I0019,9
I0022,I0030,8
I0022,I0036,8
I0022,I0065,8
I0022,I0112,8
I0022,I0023,7
I0023,I0060,14
I0023,I0051,13
I0023,I0065,13
I0023,I0097,13
I0023,I0099,11
I0024,I0037,11
I0024,I0100,10
I0024,I0106,10
I0024,I0027,9
I0024,I0110,9
I0025,I0063,10
I0025,I0017,9
I0025,I0108,9
I0025,I0020,8
I0025,I0052,8
I0026,I0029,9
I0026,I0044,9
I0026,I0109,9
I0026,I0003,8
I0026,I0005,8
I0027,I0037,10
I0027,I0110,10
I0027,I0024,9
I0027,I0106,9
I0027,I0011,8
I0028,I0110,13
I0028,I0106,9
I0028,I0083,8
I0028,I0024,7
I0028,I0037,7
I0029,I0081,12
I0029,I0001,11
I0029,I0016,11
I0029,I0082,11
I0029,I0096,11
I0030,I0065,14
I0030,I0034,9
I0030,I0060,9
I0030,I0022,8
I0030,I0023,8
I0031,I0059,10
I0031,I0047,7
I0031,I0056,7
I0031,I0084,7
I0031,I0086,7
I0032,I0014,9
I0032,I0068,8
I0032,I0074,8
I0032,I0039,7
I0032,I0043,7
I0033,I0007,6
I0033,I0048,6
I0033,I0056,6
I0033,I0069,6
I0033,I0040,5
I0034,I0065,13
I0034,I0051,11
I0034,I0060,11
I0034,I0097,11
I0034,I0023,9
I0035,I0055,8
I0035,I0059,8
I0035,I0084,7
I0035,I0098,7
I0035,I0111,7
I0036,I0051,11
I0036,I0112,11
I0036,I0060,10
I0036,I0065,10
I0036,I0097,10
I0037,I0106,15
I0037,I0110,13
I0037,I0012,12
I0037,I0064,12
I0037,I0066,12
I0038,I0001,15
I0038,I0080,13
I0038,I0009,12
I0038,I0081,12
I0038,I0003,11
I0039,I0116,9
I0039,I0014,8
I0039,I0074,8
I0039,I0085,8
I0039,I0101,8
I0040,I0046,7
I0040,I0056,7
I0040,I0031,6
I0040,I0055,6
I0040,I0061,6
I0041,I0051,11
I0041,I0099,11
I0041,I0060,10
I0041,I0065,9
I0041,I0097,9
I0042,I0001,12
I0042,I0044,12
I0042,I0003,10
I0042,I0047,9
I0042,I0058,9
I0043,I0120,8
I0043,I0008,7
I0043,I0013,7
I0043,I0014,7
I0043,I0032,7
I0044,I0081,14
I0044,I0096,13
I0044,I0042,12
I0044,I0109,12
I0044,I0001,11
I0045,I0019,6
I0045,I0021,6
I0045,I0025,6
I0045,I0088,6
I0045,I0017,5
I0046,I0007,8
I0046,I0053,8
I0046,I0086,8
I0046,I0040,7
I0046,I0055,7
I0047,I0001,13
I0047,I0058,13
I0047,I0090,12
I0047,I0109,12
I0047,I0003,11
I0048,I0055,8
I0048,I0069,8
I0048,I0056,7
I0048,I0111,7
I0048,I0018,6
I0049,I0025,7
I0049,I0086,7
I0049,I0035,6
I0049,I0043,6
I0049,I0061,6
I0050,I0017,7
I0050,I0088,7
I0050,I0091,7
I0050,I0052,6
I0050,I0054,6
I0051,I0023,13
I0051,I0060,13
I0051,I0065,13
I0051,I0097,12
I0051,I0034,11
I0052,I0017,8
I0052,I0025,8
I0052,I0020,7
I0052,I0063,7
I0052,I0019,6
I0053,I0046,8
I0053,I0120,7
I0053,I0016,6
I0053,I0054,6
I0053,I0061,6
I0054,I0078,7
I0054,I0004,6
I0054,I0017,6
I0054,I0021,6
I0054,I0050,6
I0055,I0069,10
I0055,I0084,9
I0055,I0111,9
I0055,I0035,8
I0055,I0048,8
I0056,I0007,8
I0056,I0031,7
I0056,I0040,7
I0056,I0048,7
I0056,I0069,7
I0057,I0021,9
I0057,I0017,7
I0057,I0108,7
I0057,I0004,6
I0057,I0019,6
I0058,I0047,13
I0058,I0090,13
I0058,I0096,13
I0058,I0005,12
I0058,I0077,12
I0059,I0031,10
I0059,I0035,8
I0059,I0007,7
I0059,I0084,7
I0059,I0055,6
I0060,I0023,14
I0060,I0065,14
I0060,I0051,13
I0060,I0034,11
I0060,I0097,11
I0061,I0118,7
I0061,I0035,6
I0061,I0040,6
I0061,I0049,6
I0061,I0053,6
I0062,I0063,12
I0062,I0088,8
I0062,I0091,8
I0062,I0103,8
I0062,I0019,7
I0063,I0021,13
I0063,I0062,12
I0063,I0108,12
I0063,I0088,11
I0063,I0091,11
I0064,I0037,12
I0064,I0106,11
I0064,I0100,10
I0064,I0110,10
I0064,I0066,9
I0065,I0030,14
I0065,I0060,14
I0065,I0023,13
I0065,I0034,13
I0065,I0051,13
I0066,I0110,13
I0066,I0037,12
I0066,I0094,11
I0066,I0011,10
I0066,I0106,10
I0067,I0065,9
I0067,I0034,7
I0067,I0041,7
I0067,I0051,7
I0067,I0060,7
I0068,I0014,8
I0068,I0032,8
I0068,I0107,8
I0068,I0006,7
I0068,I0010,7
I0069,I0098,11
I0069,I0055,10
I0069,I0086,10
I0069,I0084,9
I0069,I0048,8
I0070,I0081,12
I0070,I0090,12
I0070,I0044,11
I0070,I0009,10
I0070,I0096,10
I0071,I0014,9
I0071,I0074,8
I0071,I0104,7
I0071,I0116,7
I0071,I0006,6
I0072,I0116,10
I0072,I0006,8
I0072,I0013,7
I0072,I0032,7
I0072,I0073,7
I0073,I0102,9
I0073,I0014,8
I0073,I0065,8
I0073,I0116,8
I0073,I0006,7
I0074,I0013,11
I0074,I0116,11
I0074,I0101,10
I0074,I0015,9
I0074,I0006,8
I0075,I0094,8
I0075,I0066,7
I0075,I0110,7
I0075,I0011,6
I0075,I0106,6
I0076,I0084,7
I0076,I0031,6
I0076,I0069,6
I0076,I0086,6
I0076,I0105,6
I0077,I0058,12
I0077,I0044,11
I0077,I0081,11
I0077,I0005,10
I0077,I0096,10
I0078,I0021,9
I0078,I0119,8
I0078,I0054,7
I0078,I0057,6
I0078,I0063,6
I0079,I0090,13
I0079,I0044,11
I0079,I0047,11
I0079,I0001,10
I0079,I0096,10
I0080,I0038,13
I0080,I0009,12
I0080,I0081,12
I0080,I0001,11
I0080,I0003,11
I0081,I0001,15
I0081,I0044,14
I0081,I0029,12
I0081,I0038,12
I0081,I0058,12
I0082,I0001,13
I0082,I0029,11
I0082,I0081,11
I0082,I0038,10
I0082,I0058,10
I0083,I0110,10
I0083,I0028,8
I0083,I0066,8
I0083,I0008,7
I0083,I0011,7
I0084,I0055,9
I0084,I0069,9
I0084,I0086,9
I0084,I0098,9
I0084,I0118,9
I0085,I0039,8
I0085,I0013,7
I0085,I0116,7
I0085,I0006,6
I0085,I0087,6
I0086,I0069,10
I0086,I0084,9
I0086,I0098,9
I0086,I0046,8
I0086,I0118,8
I0087,I0014,11
I0087,I0013,8
I0087,I0074,8
I0087,I0101,8
I0087,I0032,7
I0088,I0063,11
I0088,I0017,10
I0088,I0019,10
I0088,I0021,10
I0088,I0004,8
I0089,I0110,9
I0089,I0037,8
I0089,I0028,7
I0089,I0064,7
I0089,I0066,7
I0090,I0058,13
I0090,I0079,13
I0090,I0047,12
I0090,I0070,12
I0090,I0081,12
I0091,I0063,11
I0091,I0103,10
I0091,I0108,10
I0091,I0019,9
I0091,I0004,8
I0092,I0091,8
I0092,I0062,7
I0092,I0063,7
I0092,I0052,6
I0092,I0065,6
I0093,I0065,12
I0093,I0051,11
I0093,I0034,9
I0093,I0097,9
I0093,I0030,8
I0094,I0110,12
I0094,I0066,11
I0094,I0075,8
I0094,I0106,8
I0094,I0008,7
I0095,I0008,8
