item_id,item_event_count,item_unique_users,item_avg_strength,item_purchase_count,item_avg_price
I0001,41,33,2.1707317073170733,3,31.439999999999998
I0002,19,18,2.1578947368421053,2,22.56
I0003,33,26,2.3333333333333335,8,12.56
I0004,22,20,2.772727272727273,3,24.4
I0005,39,28,2.6923076923076925,7,20.52
I0006,29,26,2.0689655172413794,5,21.38
I0007,25,22,2.24,5,50.51
I0008,31,24,2.193548387096774,2,36.94
I0009,33,28,2.4242424242424243,6,26.36
I0010,19,19,2.8947368421052633,3,50.12
I0011,24,21,2.8333333333333335,2,15.550000000000002
I0012,23,21,2.391304347826087,5,67.3
I0013,31,28,2.5483870967741935,5,28.54
I0014,39,30,2.358974358974359,4,30.5
I0015,28,23,2.25,5,19.27
I0016,40,35,2.425,6,41.84
I0017,38,32,2.1315789473684212,7,25.29
I0018,37,28,2.054054054054054,5,34.0
I0019,29,27,2.8275862068965516,7,35.63
I0020,22,22,2.6818181818181817,6,27.33
I0021,30,24,2.533333333333333,4,19.0
I0022,28,22,2.0714285714285716,6,23.73
I0023,34,28,2.411764705882353,7,51.99
I0024,34,25,2.5,4,24.65
I0025,32,29,2.6875,7,15.52
I0026,28,26,2.107142857142857,4,13.5
I0027,34,26,2.5,5,58.32
I0028,27,22,2.037037037037037,3,23.83
I0029,36,32,2.3333333333333335,6,83.41
I0030,26,20,2.5384615384615383,4,19.11
I0031,30,28,2.6333333333333333,6,6.52
I0032,24,19,2.0,2,68.88
I0033,16,16,2.0,2,24.72
I0034,26,23,2.269230769230769,4,32.38
I0035,26,24,2.269230769230769,2,26.96
I0036,29,26,2.4482758620689653,6,74.72
I0037,37,28,2.1621621621621623,3,17.51
I0038,36,29,2.3055555555555554,6,23.01
I0039,25,21,2.0,4,14.55
I0040,19,18,2.736842105263158,5,56.71
I0041,28,22,2.25,4,35.48
I0042,33,23,2.212121212121212,8,34.64
I0043,26,23,2.076923076923077,3,34.18
I0044,38,33,2.3947368421052633,8,16.15
I0045,18,15,2.611111111111111,1,27.1
I0046,24,20,2.5416666666666665,3,32.06
I0047,36,32,2.111111111111111,3,36.67
I0048,28,22,1.9642857142857142,2,22.53
I0049,25,19,2.12,6,10.95
I0050,20,18,2.3,2,15.330000000000002
I0051,38,30,2.1842105263157894,5,24.93
I0052,27,24,2.1481481481481484,5,30.37
I0053,25,23,2.16,4,18.65
I0054,30,23,2.5,4,35.21
I0055,28,23,2.5714285714285716,8,14.429999999999998
I0056,23,21,1.8695652173913044,1,21.96
I0057,27,23,2.4074074074074074,2,46.42000000000001
I0058,38,32,2.6052631578947367,7,18.03
I0059,25,24,2.2,2,24.91
I0060,33,28,2.1515151515151514,2,48.07
I0061,20,15,2.2,1,17.75
I0062,24,23,2.2916666666666665,3,23.59
I0063,40,34,2.425,5,17.91
I0064,29,22,2.586206896551724,8,28.05
I0065,44,33,2.340909090909091,6,45.15
I0066,38,30,1.8157894736842106,4,22.7
I0067,22,19,2.090909090909091,2,77.25
I0068,28,26,2.0,3,16.18
I0069,31,25,2.129032258064516,6,41.22
I0070,29,26,2.1379310344827585,2,26.729999999999997
I0071,22,21,2.409090909090909,2,31.769999999999996
I0072,24,22,2.75,5,21.99
I0073,27,24,1.8518518518518519,3,25.28
I0074,42,32,1.880952380952381,2,19.52
I0075,21,19,1.7142857142857142,1,25.5
I0076,23,20,2.5652173913043477,3,36.2
I0077,34,31,2.2058823529411766,2,43.74
I0078,31,28,2.3225806451612905,7,41.4
I0079,30,28,2.2,2,55.92
I0080,39,29,2.769230769230769,9,16.0
I0081,41,35,2.658536585365854,6,60.650000000000006
I0082,33,29,2.272727272727273,5,27.22
I0083,24,22,2.25,4,17.83
I0084,25,22,2.56,6,27.83
I0085,21,18,2.4761904761904763,5,64.61
I0086,23,22,2.739130434782609,5,33.96
I0087,28,25,1.8571428571428572,1,58.68
I0088,30,26,2.4,7,30.05
I0089,21,16,2.238095238095238,3,40.79
I0090,42,32,2.238095238095238,7,12.849999999999998
I0091,33,26,1.7575757575757576,2,42.99
I0092,31,25,2.3225806451612905,4,16.23
I0093,30,26,2.2333333333333334,3,35.82
I0094,25,22,2.44,3,20.46
I0095,22,19,2.0454545454545454,3,11.840000000000002
I0096,39,31,2.230769230769231,2,36.87
I0097,36,28,2.2222222222222223,4,42.6
I0098,27,24,1.8888888888888888,2,35.06
I0099,30,26,2.933333333333333,9,19.36
I0100,35,29,2.4571428571428573,3,54.26
I0101,26,24,2.230769230769231,3,48.0
I0102,29,24,1.896551724137931,1,45.37
I0103,25,23,2.6,3,51.23
I0104,29,26,3.0689655172413794,7,41.88
I0105,20,16,2.4,3,20.28
I0106,35,28,1.9142857142857144,5,26.93
I0107,23,19,2.5217391304347827,7,14.010000000000002
I0108,31,24,2.3225806451612905,4,101.53
I0109,37,29,2.3783783783783785,6,70.56
I0110,37,33,1.837837837837838,4,26.64
I0111,20,20,2.25,2,114.52000000000001
I0112,37,28,2.0,6,53.68
I0113,18,13,2.0,0,36.16
I0114,32,22,2.0625,3,33.44
I0115,21,21,2.761904761904762,3,29.97
I0116,31,27,1.8387096774193548,2,59.11
I0117,23,18,2.869565217391304,8,42.8
I0118,26,18,2.923076923076923,6,24.81
I0119,29,25,2.2758620689655173,6,34.0
I0120,27,23,2.5555555555555554,3,26.42
