user_id,precision_at_k,recall_at_k,ndcg_at_k
U0002,0.0,0.0,0.0
U0003,0.0,0.0,0.0
U0005,0.0,0.0,0.0
U0008,0.1,0.5,0.2640681225725909
U0009,0.1,1.0,0.3010299956639812
U0010,0.0,0.0,0.0
U0011,0.0,0.0,0.0
U0013,0.0,0.0,0.0
U0015,0.0,0.0,0.0
U0019,0.0,0.0,0.0
U0021,0.1,0.5,0.38685280723454163
U0024,0.0,0.0,0.0
U0025,0.0,0.0,0.0
U0027,0.1,1.0,0.5
U0028,0.0,0.0,0.0
U0031,0.1,1.0,0.3562071871080222
U0032,0.0,0.0,0.0
U0034,0.0,0.0,0.0
U0035,0.0,0.0,0.0
U0036,0.1,1.0,0.31546487678572877
U0037,0.0,0.0,0.0
U0038,0.0,0.0,0.0
U0040,0.0,0.0,0.0
U0041,0.1,1.0,0.3333333333333333
U0044,0.1,1.0,0.3333333333333333
U0045,0.0,0.0,0.0
U0049,0.0,0.0,0.0
U0050,0.1,0.5,0.20438239758848611
U0052,0.1,1.0,0.6309297535714575
U0053,0.0,0.0,0.0
U0054,0.0,0.0,0.0
U0055,0.1,1.0,0.38685280723454163
U0057,0.0,0.0,0.0
U0058,0.1,1.0,0.3333333333333333
U0060,0.0,0.0,0.0
U0061,0.0,0.0,0.0
U0067,0.0,0.0,0.0
U0068,0.0,0.0,0.0
U0069,0.0,0.0,0.0
U0071,0.0,0.0,0.0
U0076,0.0,0.0,0.0
U0077,0.0,0.0,0.0
U0078,0.0,0.0,0.0
U0079,0.0,0.0,0.0
U0080,0.1,1.0,0.38685280723454163
U0082,0.0,0.0,0.0
U0090,0.1,0.5,0.3065735963827292
U0091,0.0,0.0,0.0
U0092,0.0,0.0,0.0
U0095,0.0,0.0,0.0
U0096,0.0,0.0,0.0
U0098,0.0,0.0,0.0
U0100,0.2,0.6666666666666666,0.431733884398313
U0102,0.0,0.0,0.0
U0105,0.1,0.5,0.19342640361727081
U0107,0.0,0.0,0.0
U0108,0.0,0.0,0.0
U0109,0.0,0.0,0.0
U0110,0.0,0.0,0.0
U0115,0.0,0.0,0.0
U0117,0.0,0.0,0.0
U0119,0.0,0.0,0.0
U0120,0.1,0.5,0.3065735963827292
U0125,0.0,0.0,0.0
U0126,0.1,1.0,0.3562071871080222
U0128,0.1,0.5,0.17723928678404774
U0129,0.0,0.0,0.0
U0131,0.0,0.0,0.0
U0132,0.0,0.0,0.0
U0133,0.0,0.0,0.0
U0134,0.1,0.5,0.18457569677956817
U0138,0.0,0.0,0.0
U0139,0.0,0.0,0.0
U0142,0.1,1.0,0.6309297535714575
U0143,0.0,0.0,0.0
U0145,0.0,0.0,0.0
U0146,0.2,0.6666666666666666,0.3152014104491349
U0149,0.0,0.0,0.0
U0152,0.1,0.5,0.20438239758848611
U0153,0.0,0.0,0.0
U0154,0.0,0.0,0.0
U0155,0.1,1.0,0.3333333333333333
U0160,0.0,0.0,0.0
U0161,0.0,0.0,0.0
U0162,0.0,0.0,0.0
U0166,0.0,0.0,0.0
U0172,0.0,0.0,0.0
U0174,0.0,0.0,0.0
U0175,0.1,0.5,0.3065735963827292
U0176,0.1,1.0,0.3562071871080222
U0180,0.1,0.5,0.6131471927654584
U0181,0.0,0.0,0.0
U0186,0.1,1.0,0.6309297535714575
U0188,0.0,0.0,0.0
U0190,0.0,0.0,0.0
U0191,0.0,0.0,0.0
U0194,0.0,0.0,0.0
U0196,0.1,1.0,0.31546487678572877
U0197,0.0,0.0,0.0
U0200,0.0,0.0,0.0
U0202,0.1,1.0,0.31546487678572877
U0203,0.1,0.5,0.23719771276929622
U0204,0.0,0.0,0.0
U0205,0.0,0.0,0.0
U0206,0.1,0.5,0.3065735963827292
U0207,0.1,1.0,0.3562071871080222
U0208,0.1,0.5,0.23719771276929622
U0209,0.0,0.0,0.0
U0210,0.0,0.0,0.0
U0213,0.0,0.0,0.0
U0214,0.0,0.0,0.0
U0215,0.0,0.0,0.0
U0218,0.0,0.0,0.0
U0219,0.1,1.0,0.6309297535714575
U0220,0.0,0.0,0.0
U0221,0.1,1.0,0.5
U0222,0.0,0.0,0.0
U0225,0.0,0.0,0.0
U0227,0.0,0.0,0.0
U0230,0.0,0.0,0.0
U0234,0.0,0.0,0.0
U0236,0.0,0.0,0.0
U0237,0.0,0.0,0.0
U0239,0.1,1.0,0.3562071871080222
